city,city_ascii,state_id,state_name,lat,lng
Mendes,Mendes,GA,Georgia,31.9953,-81.9709
Wilton,Wilton,MN,Minnesota,47.5071,-94.9985
Bartley,Bartley,WV,West Virginia,37.3372,-81.7334
Bonnieville,Bonnieville,KY,Kentucky,37.3774,-85.9015
Isleta Comunidad,Isleta Comunidad,PR,Puerto Rico,18.3767,-67.1123
Clatonia,Clatonia,NE,Nebraska,40.4654,-96.8512
Mead,Mead,OK,Oklahoma,33.9979,-96.5187
Roxobel,Roxobel,NC,North Carolina,36.2015,-77.2398
Dillard,Dillard,GA,Georgia,34.9749,-83.382
Monterey,Monterey,LA,Louisiana,31.4436,-91.7191
Foxworth,Foxworth,MS,Mississippi,31.2385,-89.8828
Flor del Rio,Flor del Rio,TX,Texas,26.4013,-98.9015
La Valle,La Valle,WI,Wisconsin,43.583,-90.1303
Brisbin,Brisbin,PA,Pennsylvania,40.8395,-78.3526
Fancy Farm,Fancy Farm,KY,Kentucky,36.8003,-88.7928
Dunlevy,Dunlevy,PA,Pennsylvania,40.113,-79.8591
Axis,Axis,AL,Alabama,30.9309,-88.018
Lake Huntington,Lake Huntington,NY,New York,41.683,-74.9922
McCallsburg,McCallsburg,IA,Iowa,42.1648,-93.3906
Sumner,Sumner,MS,Mississippi,33.9693,-90.3693
Chesterhill,Chesterhill,OH,Ohio,39.4908,-81.8667
Sand Hill,Sand Hill,OK,Oklahoma,35.6343,-95.2012
Eskdale,Eskdale,WV,West Virginia,38.0909,-81.4471
Eldon,Eldon,OK,Oklahoma,35.9305,-94.8179
Milbridge,Milbridge,ME,Maine,44.5343,-67.8903
Bryantown,Bryantown,MD,Maryland,38.5498,-76.8429
Newbern,Newbern,AL,Alabama,32.592,-87.5331
Greenehaven,Greenehaven,AZ,Arizona,36.9959,-111.5566
Raleigh,Raleigh,WV,West Virginia,37.7575,-81.1699
Hyden,Hyden,KY,Kentucky,37.162,-83.378
Brownsboro Village,Brownsboro Village,KY,Kentucky,38.2629,-85.6659
Mount Gretna Heights,Mount Gretna Heights,PA,Pennsylvania,40.2487,-76.4664
Mercer,Mercer,MO,Missouri,40.5106,-93.5299
Castor,Castor,LA,Louisiana,32.2549,-93.166
Runnelstown,Runnelstown,MS,Mississippi,31.3779,-89.1143
Aspen Springs,Aspen Springs,CA,California,37.55,-118.7086
Windsor,Windsor,NJ,New Jersey,40.2465,-74.5814
Chowan Beach,Chowan Beach,NC,North Carolina,36.2142,-76.7107
Waukau,Waukau,WI,Wisconsin,43.9862,-88.7705
Lancaster,Lancaster,KS,Kansas,39.571,-95.3037
Tesuque Pueblo,Tesuque Pueblo,NM,New Mexico,35.809,-105.9752
Libertyville,Libertyville,IA,Iowa,40.9582,-92.0496
East Altoona,East Altoona,PA,Pennsylvania,40.5469,-78.3636
Froid,Froid,MT,Montana,48.338,-104.4909
Henlawson,Henlawson,WV,West Virginia,37.9,-81.982
Saxman,Saxman,AK,Alaska,55.3232,-131.5892
Bloomingdale,Bloomingdale,IN,Indiana,39.8306,-87.2502
Malinta,Malinta,OH,Ohio,41.3196,-84.0353
Purcell,Purcell,MO,Missouri,37.2433,-94.4394
Cambridge,Cambridge,ID,Idaho,44.5719,-116.6778
Creal Springs,Creal Springs,IL,Illinois,37.6198,-88.8371
McMullin,McMullin,VA,Virginia,36.8179,-81.5775
Fairview,Fairview,IL,Illinois,40.6485,-90.1841
Jamestown,Jamestown,CO,Colorado,40.118,-105.3914
Gilliam,Gilliam,MO,Missouri,39.2327,-93.0041
Rose Hill Acres,Rose Hill Acres,TX,Texas,30.1933,-94.193
Mountain Ranch,Mountain Ranch,CA,California,38.2117,-120.5311
Melvin Village,Melvin Village,NH,New Hampshire,43.6896,-71.3064
East Orosi,East Orosi,CA,California,36.5481,-119.2599
Bloomfield,Bloomfield,CA,California,38.3183,-122.8502
Fayetteville,Fayetteville,OH,Ohio,39.1854,-83.9319
Argyle,Argyle,IL,Illinois,42.3548,-88.9392
Loma Grande,Loma Grande,TX,Texas,28.7221,-99.8327
Mineral Point,Mineral Point,MO,Missouri,37.9455,-90.7246
Fair Oaks,Fair Oaks,IN,Indiana,41.075,-87.2575
Milton,Milton,IN,Indiana,39.7862,-85.1562
Sunny Slopes,Sunny Slopes,CA,California,37.5693,-118.6758
Meansville,Meansville,GA,Georgia,33.0508,-84.3082
Vera,Vera,OK,Oklahoma,36.4552,-95.9042
Jenkinsburg,Jenkinsburg,GA,Georgia,33.3224,-84.0389
Brunersburg,Brunersburg,OH,Ohio,41.3075,-84.3919
Harrell,Harrell,AR,Arkansas,33.5099,-92.4001
Rock Springs,Rock Springs,WI,Wisconsin,43.479,-89.9177
Columbus City,Columbus City,IA,Iowa,41.2592,-91.3748
Torrey,Torrey,UT,Utah,38.3078,-111.4269
Lynchburg,Lynchburg,SC,South Carolina,34.06,-80.077
Westover,Westover,PA,Pennsylvania,40.7465,-78.6821
Wilcox,Wilcox,PA,Pennsylvania,41.5726,-78.6869
Green Bluff,Green Bluff,WA,Washington,47.8184,-117.2748
Goodrich,Goodrich,TX,Texas,30.6092,-94.9467
Colton,Colton,WA,Washington,46.5675,-117.1284
Gordon,Gordon,AL,Alabama,31.1436,-85.0925
King Salmon,King Salmon,AK,Alaska,58.753,-156.5061
Spangle,Spangle,WA,Washington,47.4299,-117.3812
Keo,Keo,AR,Arkansas,34.609,-92.0102
North Hartland,North Hartland,VT,Vermont,43.5936,-72.3578
Gilby,Gilby,ND,North Dakota,48.0835,-97.4679
Middletown,Middletown,IA,Iowa,40.8279,-91.2622
Ogilvie,Ogilvie,MN,Minnesota,45.8301,-93.4232
Emigrant,Emigrant,MT,Montana,45.3755,-110.7465
Kinloch,Kinloch,MO,Missouri,38.7384,-90.3249
Uplands Park,Uplands Park,MO,Missouri,38.6927,-90.2829
Four Lakes,Four Lakes,WA,Washington,47.5576,-117.5818
Huxley,Huxley,TX,Texas,31.7644,-93.8849
Salt Point,Salt Point,NY,New York,41.8061,-73.79
Hawkins,Hawkins,WI,Wisconsin,45.5115,-90.7148
Norway,Norway,SC,South Carolina,33.4503,-81.1266
Barrville,Barrville,PA,Pennsylvania,40.6664,-77.6831
Staplehurst,Staplehurst,NE,Nebraska,40.9747,-97.1732
Deerfield Street,Deerfield Street,NJ,New Jersey,39.5212,-75.2421
Palisade,Palisade,NE,Nebraska,40.3483,-101.1075
Oakdale,Oakdale,WI,Wisconsin,43.9622,-90.3791
Solomon,Solomon,AZ,Arizona,32.8138,-109.629
Gilbertsville,Gilbertsville,NY,New York,42.4693,-75.3226
Refton,Refton,PA,Pennsylvania,39.9474,-76.2386
Gracemont,Gracemont,OK,Oklahoma,35.1879,-98.2591
Quitman,Quitman,LA,Louisiana,32.3507,-92.7236
Jordan,Jordan,MT,Montana,47.3211,-106.9098
Palo Blanco,Palo Blanco,TX,Texas,26.3876,-98.9024
Seltzer,Seltzer,PA,Pennsylvania,40.696,-76.2366
Hancocks Bridge,Hancocks Bridge,NJ,New Jersey,39.5051,-75.4605
Weippe,Weippe,ID,Idaho,46.3787,-115.9396
Deepwater,Deepwater,MO,Missouri,38.2592,-93.7746
Gatesville,Gatesville,NC,North Carolina,36.4072,-76.7566
Delphos,Delphos,KS,Kansas,39.2744,-97.7653
Cornfields,Cornfields,AZ,Arizona,35.6515,-109.6756
Drakesboro,Drakesboro,KY,Kentucky,37.2177,-87.0492
Druid Hills,Druid Hills,KY,Kentucky,38.2649,-85.6617
Malden,Malden,WV,West Virginia,38.3008,-81.558
Briggsville,Briggsville,WI,Wisconsin,43.6561,-89.5897
Lead Hill,Lead Hill,AR,Arkansas,36.4137,-92.9067
Hamilton,Hamilton,MS,Mississippi,33.746,-88.4095
Condon,Condon,MT,Montana,47.5225,-113.6987
Banks,Banks,AL,Alabama,31.8132,-85.8364
Wausau,Wausau,FL,Florida,30.6334,-85.5874
Eldorado Springs,Eldorado Springs,CO,Colorado,39.9366,-105.2626
Henderson,Henderson,MI,Michigan,43.0872,-84.1933
Greenleaf,Greenleaf,KS,Kansas,39.7273,-96.98
Arrowsmith,Arrowsmith,IL,Illinois,40.4493,-88.6321
New Galilee,New Galilee,PA,Pennsylvania,40.8335,-80.4011
Lee,Lee,IL,Illinois,41.7955,-88.9417
Mitchellville,Mitchellville,AR,Arkansas,33.9051,-91.4984
Wyoming,Wyoming,RI,Rhode Island,41.5143,-71.6903
Spokane,Spokane,MO,Missouri,36.8669,-93.287
Mill Creek,Mill Creek,PA,Pennsylvania,40.4373,-77.9307
Ochoco West,Ochoco West,OR,Oregon,44.4033,-120.9207
Glencoe,Glencoe,KY,Kentucky,38.7253,-84.8238
Lorimor,Lorimor,IA,Iowa,41.1268,-94.0569
Kratzerville,Kratzerville,PA,Pennsylvania,40.8588,-76.8939
Stanley,Stanley,ID,Idaho,44.2154,-114.9364
Middle River,Middle River,MN,Minnesota,48.4349,-96.1617
Flatwoods,Flatwoods,WV,West Virginia,38.7187,-80.654
La Paloma Ranchettes,La Paloma Ranchettes,TX,Texas,26.3148,-98.623
Sinking Spring,Sinking Spring,OH,Ohio,39.0747,-83.3871
Ashford,Ashford,WA,Washington,46.7551,-122.0143
Elmira,Elmira,OR,Oregon,44.07,-123.3588
Cerro Gordo,Cerro Gordo,NC,North Carolina,34.3226,-78.9286
Hammett,Hammett,ID,Idaho,42.9441,-115.4654
Cumberland,Cumberland,OH,Ohio,39.8534,-81.6588
Kimballton,Kimballton,IA,Iowa,41.6272,-95.0747
Elmira,Elmira,CA,California,38.3523,-121.9077
Parkdale,Parkdale,OR,Oregon,45.5131,-121.5921
Trenton,Trenton,NC,North Carolina,35.064,-77.3553
Woodburn,Woodburn,KY,Kentucky,36.8421,-86.5301
Meridian,Meridian,CA,California,39.1405,-121.9078
Pablo Pena,Pablo Pena,TX,Texas,26.3037,-98.6405
Burnt Ranch,Burnt Ranch,CA,California,40.8111,-123.5082
Hedley,Hedley,TX,Texas,34.8674,-100.659
Drifting,Drifting,PA,Pennsylvania,41.0242,-78.1083
Sale City,Sale City,GA,Georgia,31.2626,-84.0214
Lu Verne,Lu Verne,IA,Iowa,42.9095,-94.0836
Rienzi,Rienzi,MS,Mississippi,34.7633,-88.534
Pavillion,Pavillion,WY,Wyoming,43.244,-108.689
Long Beach,Long Beach,MN,Minnesota,45.6509,-95.4297
Claypool,Claypool,IN,Indiana,41.1306,-85.8826
Platte Center,Platte Center,NE,Nebraska,41.5374,-97.4886
Kistler,Kistler,WV,West Virginia,37.7656,-81.8578
New Alexandria,New Alexandria,OH,Ohio,40.2916,-80.675
Auburntown,Auburntown,TN,Tennessee,35.9511,-86.0969
Lomax,Lomax,IL,Illinois,40.6792,-91.0754
Brethren,Brethren,MI,Michigan,44.3048,-86.0168
Riverton,Riverton,CT,Connecticut,41.9631,-73.0166
Gallina,Gallina,NM,New Mexico,36.2295,-106.8205
Indian Wells,Indian Wells,AZ,Arizona,35.4089,-110.1062
Eastlake,Eastlake,MI,Michigan,44.2449,-86.2927
Topaz Lake,Topaz Lake,NV,Nevada,38.6976,-119.5427
Mehoopany,Mehoopany,PA,Pennsylvania,41.568,-76.0616
Lauderdale,Lauderdale,MS,Mississippi,32.5104,-88.5264
Geraldine,Geraldine,MT,Montana,47.6022,-110.2663
Sacramento,Sacramento,KY,Kentucky,37.416,-87.2678
Millstone,Millstone,KY,Kentucky,37.1638,-82.7495
Clarence,Clarence,LA,Louisiana,31.8198,-93.0292
Luana,Luana,IA,Iowa,43.0594,-91.4557
Greenville,Greenville,WV,West Virginia,37.7227,-81.8745
Alvarado,Alvarado,MN,Minnesota,48.193,-96.9984
Branch,Branch,AR,Arkansas,35.3075,-93.9557
Berkey,Berkey,OH,Ohio,41.7085,-83.8383
Amity,Amity,IN,Indiana,39.4262,-86.0011
Hood,Hood,CA,California,38.3693,-121.5155
Pine Hill,Pine Hill,NY,New York,42.1308,-74.4666
Florence,Florence,SD,South Dakota,45.0548,-97.3263
Alpena,Alpena,SD,South Dakota,44.1829,-98.3683
Adelphi,Adelphi,OH,Ohio,39.4647,-82.7456
Dover,Dover,OK,Oklahoma,35.9816,-97.9108
Lemitar,Lemitar,NM,New Mexico,34.1551,-106.9122
Kongiganak,Kongiganak,AK,Alaska,59.9858,-162.8544
Wheeler,Wheeler,WI,Wisconsin,45.0441,-91.9037
Etowah,Etowah,AR,Arkansas,35.7225,-90.2321
St. Regis Falls,St. Regis Falls,NY,New York,44.6764,-74.5309
Savage,Savage,MT,Montana,47.4536,-104.3414
Roscoe,Roscoe,SD,South Dakota,45.4501,-99.3367
Webbers Falls,Webbers Falls,OK,Oklahoma,35.5105,-95.1601
Wayland,Wayland,KY,Kentucky,37.4508,-82.7996
Carson,Carson,ND,North Dakota,46.4223,-101.5706
Hollansburg,Hollansburg,OH,Ohio,39.9985,-84.793
Medora,Medora,IL,Illinois,39.1765,-90.1414
New Riegel,New Riegel,OH,Ohio,41.052,-83.3191
Bowler,Bowler,WI,Wisconsin,44.8627,-88.9814
Peavine,Peavine,OK,Oklahoma,35.8903,-94.6064
Dungannon,Dungannon,VA,Virginia,36.8285,-82.4681
Benbow,Benbow,CA,California,40.0603,-123.7654
Defiance,Defiance,PA,Pennsylvania,40.1599,-78.2319
Granjeno,Granjeno,TX,Texas,26.1371,-98.3034
Manns Choice,Manns Choice,PA,Pennsylvania,40.0035,-78.5912
Ingalls,Ingalls,KS,Kansas,37.8287,-100.4534
Ridgeway,Ridgeway,IA,Iowa,43.2971,-91.9924
Diablock,Diablock,KY,Kentucky,37.2295,-83.1709
Edom,Edom,TX,Texas,32.3743,-95.6099
Chance,Chance,OK,Oklahoma,36.0607,-94.6478
Forest Hill Village,Forest Hill Village,MT,Montana,48.1208,-114.2618
Walcott,Walcott,AR,Arkansas,36.0454,-90.6722
Waverly,Waverly,AL,Alabama,32.7333,-85.5764
Bendon,Bendon,MI,Michigan,44.637,-85.8378
Cañada de los Alamos,Canada de los Alamos,NM,New Mexico,35.5927,-105.8597
Oconee,Oconee,GA,Georgia,32.8535,-82.9576
Floyd,Floyd,IA,Iowa,43.1282,-92.7399
Dennard,Dennard,AR,Arkansas,35.7491,-92.5388
Lancaster,Lancaster,MN,Minnesota,48.8577,-96.8019
La Tierra,La Tierra,NM,New Mexico,35.7473,-106.0308
New Gretna,New Gretna,NJ,New Jersey,39.5909,-74.455
Greensburg,Greensburg,MD,Maryland,39.6806,-77.5615
Dunfermline,Dunfermline,IL,Illinois,40.4917,-90.0323
Russian Mission,Russian Mission,AK,Alaska,61.7825,-161.3567
La Victoria,La Victoria,TX,Texas,26.3478,-98.6296
McEwensville,McEwensville,PA,Pennsylvania,41.0723,-76.8188
Drasco,Drasco,AR,Arkansas,35.6338,-91.9418
Marion,Marion,MN,Minnesota,43.9431,-92.3531
Norwood,Norwood,GA,Georgia,33.4625,-82.7055
Starks,Starks,LA,Louisiana,30.3105,-93.6667
Maytown,Maytown,AL,Alabama,33.5499,-87.0001
Avalon,Avalon,GA,Georgia,34.5027,-83.1967
Fredonia,Fredonia,PA,Pennsylvania,41.3219,-80.2581
Plainfield,Plainfield,IA,Iowa,42.8447,-92.5359
Bailey Lakes,Bailey Lakes,OH,Ohio,40.9488,-82.3572
Sylvan Grove,Sylvan Grove,KS,Kansas,39.0123,-98.3944
White Oak,White Oak,MS,Mississippi,34.6438,-90.3495
Haydenville,Haydenville,OH,Ohio,39.4807,-82.3238
Chewsville,Chewsville,MD,Maryland,39.6484,-77.6311
Hitterdal,Hitterdal,MN,Minnesota,46.9778,-96.2584
Presho,Presho,SD,South Dakota,43.9071,-100.0583
East Duke,East Duke,OK,Oklahoma,34.6628,-99.5696
Stantonville,Stantonville,TN,Tennessee,35.1569,-88.4302
Ezel,Ezel,KY,Kentucky,37.892,-83.4446
Ostrander,Ostrander,MN,Minnesota,43.6137,-92.4263
Lindsay,Lindsay,NE,Nebraska,41.6991,-97.6939
Annona,Annona,TX,Texas,33.5818,-94.9131
Nellie,Nellie,OH,Ohio,40.3384,-82.0713
Walstonburg,Walstonburg,NC,North Carolina,35.5961,-77.6981
St. Martin,St. Martin,MN,Minnesota,45.5028,-94.6676
Ridgeland,Ridgeland,WI,Wisconsin,45.2025,-91.8965
Skyland,Skyland,NV,Nevada,39.0265,-119.9221
Juliustown,Juliustown,NJ,New Jersey,40.0121,-74.6715
Fort Thomas,Fort Thomas,AZ,Arizona,33.0222,-109.9665
Angie,Angie,LA,Louisiana,30.9633,-89.8177
Kasilof,Kasilof,AK,Alaska,60.331,-151.2293
North Bend,North Bend,PA,Pennsylvania,41.3473,-77.7026
Birch Hill,Birch Hill,WI,Wisconsin,46.5209,-90.5555
Hartz Lake,Hartz Lake,IN,Indiana,41.1762,-86.4942
Mindenmines,Mindenmines,MO,Missouri,37.4728,-94.5889
Linwood,Linwood,KS,Kansas,39.0019,-95.0362
Delight,Delight,AR,Arkansas,34.0301,-93.5072
Rudyard,Rudyard,MT,Montana,48.5599,-110.55
Clearwater,Clearwater,NE,Nebraska,42.1707,-98.1897
Halfway,Halfway,OR,Oregon,44.8781,-117.1097
Spencer,Spencer,NE,Nebraska,42.8753,-98.7003
Virgil,Virgil,IL,Illinois,41.9557,-88.529
Gause,Gause,TX,Texas,30.7874,-96.7224
Crawfordsville,Crawfordsville,IA,Iowa,41.2139,-91.5366
Ramsay,Ramsay,MI,Michigan,46.47,-89.9978
Lyon Mountain,Lyon Mountain,NY,New York,44.7253,-73.8831
Lowell,Lowell,WI,Wisconsin,43.3363,-88.8182
Floydale,Floydale,SC,South Carolina,34.321,-79.3371
Protivin,Protivin,IA,Iowa,43.2167,-92.089
West Stewartstown,West Stewartstown,NH,New Hampshire,44.9907,-71.5311
Mildred,Mildred,TX,Texas,32.0411,-96.3483
Harrisburg,Harrisburg,MO,Missouri,39.1397,-92.4579
Steamboat Rock,Steamboat Rock,IA,Iowa,42.4081,-93.0662
Bronson,Bronson,IA,Iowa,42.409,-96.2105
Arpelar,Arpelar,OK,Oklahoma,34.9356,-95.9589
Clifton,Clifton,VA,Virginia,38.7802,-77.3866
Pisinemo,Pisinemo,AZ,Arizona,32.035,-112.3193
Upper Red Hook,Upper Red Hook,NY,New York,42.0262,-73.8456
Richville,Richville,NY,New York,44.4151,-75.3924
Woodstock,Woodstock,OH,Ohio,40.1737,-83.5279
Chula Vista,Chula Vista,TX,Texas,28.6563,-99.8077
Abbeville,Abbeville,MS,Mississippi,34.5034,-89.5025
Hebo,Hebo,OR,Oregon,45.226,-123.8586
Vesta,Vesta,MN,Minnesota,44.5067,-95.4139
Luray,Luray,SC,South Carolina,32.8142,-81.2403
Montrose,Montrose,GA,Georgia,32.5595,-83.1535
Muir Beach,Muir Beach,CA,California,37.8655,-122.5859
Campbell Station,Campbell Station,AR,Arkansas,35.6678,-91.2538
El Combate,El Combate,PR,Puerto Rico,17.9822,-67.2089
Jeddito,Jeddito,AZ,Arizona,35.7697,-110.1305
Junction City,Junction City,WI,Wisconsin,44.593,-89.7679
Glen Aubrey,Glen Aubrey,NY,New York,42.2623,-76.0003
Bandana,Bandana,KY,Kentucky,37.1447,-88.9418
Brighton,Brighton,UT,Utah,40.6196,-111.6005
Gagetown,Gagetown,MI,Michigan,43.6572,-83.2449
Goodsprings,Goodsprings,NV,Nevada,35.8319,-115.4352
Eastport,Eastport,MI,Michigan,45.1112,-85.3518
Lake Viking,Lake Viking,MO,Missouri,39.9253,-94.0692
Eureka,Eureka,TX,Texas,32.012,-96.2856
Elderton,Elderton,PA,Pennsylvania,40.6945,-79.3421
Cottageville,Cottageville,WV,West Virginia,38.8667,-81.8242
Rosemont,Rosemont,MD,Maryland,39.3317,-77.6214
Blakesburg,Blakesburg,IA,Iowa,40.962,-92.6347
Gordonville,Gordonville,PA,Pennsylvania,40.0211,-76.1366
Francis,Francis,OK,Oklahoma,34.8745,-96.5926
Twin Forks,Twin Forks,NM,New Mexico,32.9463,-105.6374
Depauville,Depauville,NY,New York,44.1425,-76.0452
Bagtown,Bagtown,MD,Maryland,39.583,-77.6139
Reyno,Reyno,AR,Arkansas,36.3609,-90.759
Shrewsbury,Shrewsbury,WV,West Virginia,38.2079,-81.4671
Prague,Prague,NE,Nebraska,41.3094,-96.8082
Kukuihaele,Kukuihaele,HI,Hawaii,20.1195,-155.5654
Rader Creek,Rader Creek,MT,Montana,45.8456,-112.3161
Needmore,Needmore,IN,Indiana,38.9267,-86.5263
Goehner,Goehner,NE,Nebraska,40.8327,-97.2196
Sharpsburg,Sharpsburg,GA,Georgia,33.337,-84.6504
South Prairie,South Prairie,WA,Washington,47.1373,-122.0939
Uniondale,Uniondale,IN,Indiana,40.8299,-85.2415
Wauhillau,Wauhillau,OK,Oklahoma,35.8643,-94.7605
